,0,1,2,3,4
0,1,华夏成长混合,http://fund.eastmoney.com/000001.html,0.80%,0.15%
1,3,中海可转债债券A,http://fund.eastmoney.com/000003.html,1.04%,0.08%
2,4,中海可转债债券C,http://fund.eastmoney.com/000004.html,1.04%,0.00%
3,5,嘉实增强信用定期债券,http://fund.eastmoney.com/000005.html,0.00%,0.08%
4,6,西部利得量化成长混合A,http://fund.eastmoney.com/000006.html,0.99%,0.15%
5,8,嘉实中证500ETF联接A,http://fund.eastmoney.com/000008.html,1.53%,0.12%
6,11,华夏大盘精选混合,http://fund.eastmoney.com/000011.html,1.85%,0.15%
7,14,华夏聚利债券,http://fund.eastmoney.com/000014.html,0.24%,0.06%
8,15,华夏纯债债券A,http://fund.eastmoney.com/000015.html,0.00%,0.08%
9,16,华夏纯债债券C,http://fund.eastmoney.com/000016.html,0.00%,0.00%
10,17,财通可持续混合,http://fund.eastmoney.com/000017.html,0.70%,0.15%
11,20,景顺长城品质投资混合,http://fund.eastmoney.com/000020.html,0.51%,0.15%
12,21,华夏优势增长混合,http://fund.eastmoney.com/000021.html,0.36%,0.15%
13,24,大摩双利增强债券A,http://fund.eastmoney.com/000024.html,0.09%,0.08%
14,25,大摩双利增强债券C,http://fund.eastmoney.com/000025.html,0.09%,0.00%
15,28,华富安鑫债券,http://fund.eastmoney.com/000028.html,0.38%,0.08%
16,29,富国宏观策略灵活配置混合,http://fund.eastmoney.com/000029.html,1.15%,0.15%
17,30,长城核心优选混合,http://fund.eastmoney.com/000030.html,0.47%,0.15%
18,31,华夏复兴混合,http://fund.eastmoney.com/000031.html,0.49%,0.15%
19,32,易方达信用债债券A,http://fund.eastmoney.com/000032.html,0.09%,0.08%
20,33,易方达信用债债券C,http://fund.eastmoney.com/000033.html,0.09%,0.00%
21,37,广发景宁债券,http://fund.eastmoney.com/000037.html,0.04%,0.08%
22,39,农银高增长混合,http://fund.eastmoney.com/000039.html,0.48%,0.15%
23,41,华夏全球股票(QDII),http://fund.eastmoney.com/000041.html,---,0.16%
24,42,中证财通可持续发展100指数A,http://fund.eastmoney.com/000042.html,1.61%,0.12%
25,43,嘉实美国成长股票人民币,http://fund.eastmoney.com/000043.html,---,0.15%
