,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,华夏成长混合,中国平安,6.04%,南极电商,5.90%,中南建设,5.30%,贵州茅台,5.01%,东方雨虹,4.57%,保利地产,4.30%,航天发展,4.14%,中航机电,3.78%,丽珠集团,2.90%,五 粮 液,2.86%,18国开,3.55%,20国开,2.50%,19进出,2.30%,15华能,2.09%,20进出,2.08%,0,0,0,0,0,0,0,0,0,0
1,中海可转债债券A,东方财富,6.50%,中信证券,4.85%,财通证券,3.48%,海通证券,2.23%,华泰证券,1.94%,兴业银行,1.28%,长证转债,24.36%,光大转债,23.67%,国君转债,22.89%,苏银转债,13.66%,浦发转债,7.30%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,中海可转债债券C,东方财富,6.50%,中信证券,4.85%,财通证券,3.48%,海通证券,2.23%,华泰证券,1.94%,兴业银行,1.28%,长证转债,24.36%,光大转债,23.67%,国君转债,22.89%,苏银转债,13.66%,浦发转债,7.30%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,嘉实增强信用定期债券,玲珑轮胎,0.51%,木林森,0.47%,20国开,21.77%,19浦发,8.74%,18民生,8.73%,19西南01,8.72%,16国君G4,8.67%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,西部利得量化成长混合A,中航光电,0.85%,航发动力,0.83%,星宇股份,0.81%,国瓷材料,0.80%,福斯特,0.79%,宏达电子,0.78%,科沃斯,0.78%,石头科技,0.77%,新宝股份,0.76%,迈瑞医疗,0.75%,20国债,0.09%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,嘉实中证500ETF联接A,珀莱雅,0.01%,山西证券,0.00%,国盛金控,0.00%,振邦智能,0.00%,吉大正元,0.00%,华鲁恒升,0.00%,莱克电气,0.00%,吉比特,0.00%,三棵树,0.00%,飞科电器,0.00%,20国债15,0.27%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,华夏大盘精选混合,锦江酒店,7.82%,海尔智家,6.21%,海大集团,5.49%,福斯特,5.49%,春秋航空,5.37%,福耀玻璃,4.98%,泸州老窖,4.94%,中航光电,4.94%,首旅酒店,4.78%,古井贡酒,4.66%,18国开,2.25%,20贴现,0.83%,18国开,0.70%,16农发,0.42%,20进出,0.42%,0,0,0,0,0,0,0,0,0,0
7,华夏聚利债券,先导智能,5.20%,东方财富,4.61%,玲珑轮胎,3.99%,中航电子,3.37%,海大集团,2.62%,裕同科技,2.16%,中国太保,1.89%,中航机电,1.66%,苏博特,1.09%,璞泰来,1.05%,20国开,7.87%,光大转债,7.60%,20国债10,5.43%,国君转债,3.95%,20济轨Y2,3.10%,0,0,0,0,0,0,0,0,0,0
8,华夏纯债债券A,20附息,9.25%,20国开,5.09%,19国开,4.86%,20附息,3.17%,15国开,2.46%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,华夏纯债债券C,20附息,9.25%,20国开,5.09%,19国开,4.86%,20附息,3.17%,15国开,2.46%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,财通可持续混合,康泰生物,5.71%,药明康德,5.54%,贵州茅台,5.38%,九洲药业,5.33%,三花智控,5.13%,宁德时代,4.79%,涪陵榨菜,4.63%,海尔智家,3.98%,立讯精密,3.92%,恒瑞医药,3.92%,立讯转债,0.06%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,景顺长城品质投资混合,顺丰控股,5.25%,五 粮 液,5.18%,立讯精密,5.15%,药明康德,3.75%,紫光国微,2.60%,三七互娱,2.57%,扬农化工,2.52%,安图生物,2.43%,恒生电子,2.33%,鹏鼎控股,2.32%,福20转债,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,华夏优势增长混合,宁德时代,7.58%,先导智能,6.75%,五 粮 液,4.08%,立讯精密,3.61%,赣锋锂业,2.67%,北摩高科,2.44%,七一二,2.41%,卓胜微,2.37%,三安光电,2.34%,爱尔眼科,2.28%,16农发,2.35%,18国开,1.49%,20进出,0.62%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,大摩双利增强债券A,19顺义,2.76%,20万科02,2.01%,19萧山,1.81%,19国兴,1.81%,20福州,1.79%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,大摩双利增强债券C,19顺义,2.76%,20万科02,2.01%,19萧山,1.81%,19国兴,1.81%,20福州,1.79%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,华富安鑫债券,兴业银行,1.88%,西部矿业,1.58%,中国国航,1.47%,中国建筑,1.42%,平安银行,1.41%,万 科Ａ,1.41%,上海机场,1.03%,中信证券,0.97%,农业银行,0.94%,建设银行,0.89%,17舟交01,8.08%,18电投12,7.93%,19中银01,7.42%,19陆债01,5.95%,18中原EB,5.27%,0,0,0,0,0,0,0,0,0,0
16,富国宏观策略灵活配置混合,捷佳伟创,4.23%,华友钴业,4.22%,亿纬锂能,2.79%,龙蟒佰利,2.62%,新华保险,2.61%,分众传媒,2.56%,亚玛顿,2.44%,宝钛股份,2.41%,航天彩虹,2.40%,平安银行,2.35%,18农发,4.25%,16农发,1.41%,无锡转债,0.60%,赣锋转债,0.37%,雅化转债,0.09%,0,0,0,0,0,0,0,0,0,0
17,长城核心优选混合,贵州茅台,7.38%,通威股份,5.74%,中国平安,5.09%,五 粮 液,4.77%,恒立液压,4.72%,卓胜微,3.69%,宁波银行,2.74%,招商银行,2.70%,万 科Ａ,2.63%,平安银行,2.35%,韦尔转债,0.01%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,华夏复兴混合,立讯精密,7.76%,东山精密,7.04%,宁德时代,6.50%,先导智能,5.59%,创世纪,5.36%,北摩高科,5.05%,金山办公,5.00%,三花智控,4.81%,科锐国际,4.68%,华友钴业,4.34%,20进出,2.40%,18国开,1.01%,20国开,1.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,易方达信用债债券A,20进出,5.01%,19大唐,2.03%,19联发02,1.99%,20大唐,1.84%,20锦江,1.78%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,易方达信用债债券C,20进出,5.01%,19大唐,2.03%,19联发02,1.99%,20大唐,1.84%,20锦江,1.78%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,广发景宁债券,20国开,38.39%,20国开,28.84%,19国开,19.21%,19国开,9.63%,18国开,9.60%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,农银高增长混合,宁德时代,8.75%,芒果超媒,6.51%,珀莱雅,5.57%,振华科技,4.85%,中国中免,4.08%,立讯精密,3.77%,五 粮 液,3.70%,火炬电子,3.60%,鸿远电子,3.39%,美的集团,3.01%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,华夏全球股票(QDII),特斯拉,9.25%,台湾集成电,4.93%,Sea L,4.01%,哔哩哔哩,3.97%,长城汽车,3.88%,苹果,3.83%,Squar,3.75%,罗克韦尔自,3.33%,拼多多,3.32%,Cloud,2.72%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,中证财通可持续发展100指数A,长城汽车,2.97%,宁波银行,2.60%,兴业银行,2.49%,贵州茅台,2.44%,中远海控,2.30%,五 粮 液,2.16%,上汽集团,1.78%,长安汽车,1.74%,美的集团,1.56%,三一重工,1.51%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,嘉实美国成长股票人民币,苹果,9.87%,微软,8.45%,亚马逊,7.67%,谷歌-A,4.31%,Faceb,3.47%,特斯拉,3.25%,英伟达,2.41%,PayPa,1.89%,维萨,1.84%,万事达卡,1.57%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,嘉实美国成长股票美元现汇,苹果,9.87%,微软,8.45%,亚马逊,7.67%,谷歌-A,4.31%,Faceb,3.47%,特斯拉,3.25%,英伟达,2.41%,PayPa,1.89%,维萨,1.84%,万事达卡,1.57%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
